CUSTOMER MANAGEMENT LIST,,,,,,,,,,,,
Customer ID,Company Name,Contact Name,Billing Address,City,State ,Postal Code,Website,Phone Number,Fax Number,E-Mail Address,Notes,
,"Nuprocon Pumping & Equipment, Inc.",Steve Heimark,7504 Copper Crown Court,Las Vegas,Nevada,89129,,702-395-2562,702-364-2563,julie@nuprocon.com,,
,O'Brien Concrete Pumping - AZ,Richard O'Brien,4715 West Buckeye Road,Phoenix,Arizona,85043,www.obrienpumping.com,602-278-8926,,pete@obrienpumping.com,,
,O'Brien Concrete Pumping -CO,Richard O'Brien,"640 West Tennessee Avenue, Unit C",Denver,Colorado,80223-2813,www.obrienpumping.com,303-778-8771,303-733-8345,robrien@obrienpumping.com,,
,OCCI,,3200 County Road 257,Fulton,Missouri,65251,www.occimofab.com,573-642-6087,573-642-1419,office@occimofab.com,,
,"O'Dell Concrete Pumping Service, Inc",Randy Sutton,5201 N. 57th Street,Lincoln,Nebraska,68507,www.odellconcretepumping.com,402-466-8845,,rsutton@odellco.net,,
,"Original Concrete Pumping Service, Inc",Harvey Hoyer,840 Fairway Drive,Bensenville,Illinois,60106-1313,www.originalconcrete.com,630-860-1100,630-860-1102,originalconcrete@sbcglobal.net,,
,P C I ,,1203 Main Street,Grandview,Missouri,64030,,,,,,
,"Parker Concrete Placement, Inc",Brian Parker,21 West 171 Hill Avenue,Glen Ellyn,Illinois,60137,,815-928-9400,815-550-1671,parkerplacement@yahoo.com,,
,Paseo Corridor Construction,,103 West 26th Avenue,North Kansas City,Missouri,64116,,,,,,
,Peak Concrete Pumping,Tracy Horner,PO Box 1150,Silverthorne,Colorado,80498,www.peakconcretepumping.com,970-389-2964,970-468-2756,thorner@evmat.com,,
,Peak Concrete Pumping - Steamboat Springs,Tracy Horner,PO Box 1150,Silverthorne,Colorado,80498,www.peakconcretepumping.com,970-389-2964,970-468-2526,thorner@evmat.com,,
,"Perma-Structo, Inc.",Mark Beaudin,"9420 Charles Street, PO box 705",Sturtevant,Wisconsin,53177,www.permastructo.com,262-886-2258,262-886-3026,markb1@tds.net,,
,"Pete Lien & Sons, Inc.",Kim Sarver,PO Box 440,Rapid City,South Dakota,57709,www.petelien.com,605-342-7224,605-342-6979,ksarver@petelien.com,,
,Peter Kewit & Sons,,203 South 36th Street,Omaha,Nebraska,68131,,402-342-2052,,,,
,Pioneer Concrete Pumping 1,Patrick Inglese,6400 Highlands Parkway Suite C,Smyma,Georgia,30082,www.pioneerconcrete.com,770-434-0600,770-434-5950,pinglese@pioneerconcrete.com,,
,Pioneer Concrete Pumping 2,Jeff Rice,3485 Roy Orr Blvd.,Grand Prairie,Texas,75050,www.pioneerconcrete.com,972-313-8500,972-313-8505,jrice@pioneerconcrete.com,,
,Pioneer Concrete Pumping 3,Wayne Mays,1723 FM 1516,Converse,Texas,78109,www.pioneerconcrete.com,210-661-0055,210-661-0066,wmays@pioneerconcrete.com,,
,"Piqua Transport Co., Pump Division",Jeff Schaffner,8395 North Piqua-Lockington Road,Piqua,Ohio,45356,www.piquaconcrete.com,937-773-0841,937-778-0843,jschaffner@piquaconcrete.com,,
,Porky's Concrete Pumping Service,,1524 Schunaman Street,Moberly,Missouri,65270,,660-263-6341,,,,
,"Potratz Concrete Pumping South, Inc.",Jennifer Potratz,1962 South 76th Street,Franksville,Wisconsin,53126,www.potratzsouth.com,262-835-1626,262-835-1688,accounting@potratzsouth.com,,
,"PPT, Inc.",David Pattridge,1040 Hawn Avenue,Shreveport,Louisiana,71107,,318-222-2225,318-222-2276,david@pptinc.com,,
,Prairie Construction,,4104 South Herren Road,Hutchinson,Kansas,67501,,620-960-1388,,,,
,"Preferred Concrete Pumping, Inc.",Martin Lopez,3190 West El Camino Del Cerro,Tucson,Arizona,85745,www.prefconcpump.com,520-888-3345,520-888-1205,Martinl@prefconcpump.com,,
,Premier Concrete Pumping,Bruce Inglese,25 Ingram Blvd.,Lavergne,Tennessee,37086,www.premierconcrete.com,615-213-2600,615-213-2601,ingleseb@premierconcrete.com,,
,Pro Pump LLC,,5853 County Road 15,Merino,Colorado,80741,,970-522-5580,,,,
,"Protivin Builders, Inc",Gary Panos,1020 Windsor Avenue,Waucoma,Iowa,52171,,563-569-8512,,,,
,PumpCo,,,,,,,303-517-0773,,,,
,Pumpcrete Corporation Canada,"Ken Williams, Jr.",6000 Progress Street,Nigra Falls,Ontario,L2E 6X8,www.pumpcrete.com,905-354-3855,905-374-4043,ken2@pumpcrete.com,,
,Pumpcrete Corporation USA,George Culp,7126 Ellicott Road,Orchard Park,New York,14127,www.pumpcrete.com,716-508-8204,716-508-8255,george.pumpcrete@gmail.com,,
,Pyramid Contractors,,795 West Ironwood,Olathe,Kansas,66061,,913-764-6225,,,PO # Required for payment,
,"R & R Ready Mix, Inc.",David Luedeke,13947 Street Highway 29 North PO Box 197,Miltona,Minnesota ,56354,,218-943-4601,218-943-5138,rrready@midwestinfo.net,,
,R & S Concrete Pumping Service,Shirley Borowicz,1655 Highway 63,New Richmond,Wisconsin,54017,,715-246-3920,715-246-7790,sborowicz@hotmail.com,,
,R & S Contracting,,221 South 11th Street,Neodesha,Kansas,66757,,620-325-2130,,,,
,R B Concrete,,214 Aven Avenue,Nixa,Missouri,65714,,417-724-9993,,,,
,R. Chavez,,11407 East Truman Road,Independence,Missouri,64050,,,,,,
,"R.L.McCoy, Inc. 1",Mark McCoy,7898 East Lincolnway,Columbia City,Indiana,46725-8818,www.rlmccoy.net,260-625-3443,260-625-3813,corporate@rlmccoy.net,,
,"R.L.McCoy, Inc. 2",Gary Brown,6885 East 34th Street,Indianapolis,Indiana,46226-6125,www.rlmccoy.net,317-544-0000,317-544-0001,garybrown@rlmccoy.net,,
,"Ralph's Concrete Pumping, Inc. 1",Tim Henson,1529 Rainer Avenue South,Seattle,Washington,98144-2828,www.ralphsconcrete.com,206-329-5888,206-329-5898,tim@ralphsconcrete.com,,
,"Ralph's Concrete Pumping, Inc. 2",Travis Henson,400 Stone Road,Ellensburg,Washington,98926,www.ralphsconcrete.com,509-925-3850,509-925-3860,travis@ralphsconcrete.com,,
,"Ralph's Concrete Pumping, Inc. 3",,6115 North West Street Helen's Road,Portland ,Oregon,97210,www.ralphsconcrete.com,206-329-5888,206-329-5898,,,
,"Ramcrete, Inc.",Todd Morgan,4604 Old Kyles Station Road,Hamilton,Ohio,45011,www.ramcrete.com,513-863-7265,513-863-6176,tmorgan@ramcrete.com,,
,Redwood Concrete Pump Service,Eric Worden,1372 Los Alamos Road,Santa Rosa,California,95409,www.redwoodconcretepumping.com,707-538-1206,707-539-4689,redwoodconcretepump@sonic.net,,
,Redwood Empire Concrete Pumping Equipment,Eric Worden,1372 Los Alamos Road,Santa Rosa,California,95409,www.schwingpartsstore.com,707-538-1206,707-539-4689,info@schwingpartsstore.com,,
,"Reynolds Concrete Pumping, LLC",Patrick Reynolds,PO Box 3550,Bowling Green,Kentucky,42101,www.reynoldscorporation.com,270-781-1415,270-282-2769,info@reynoldscorporation.com,,
,Rhino Concrete Pumping,John Steele,2911 Landco Drive,Bakersfield,California,93308,,661-859-1191,661-859-1193,john@rcpumping.com,,
,Robert Romaine Concrete,"Robert J. Romaine, Jr.",PO Box 70097,Tuscaloosa,Alabama,35407,www.romaineconcrete.com,205-556-2333,205-556-2060,romainecon@aol.com,,
,"Ron Hunsche Excavating, Inc.",Ron Hunsche,12442 Sportsman Road,Highland,Illinois,62249,,618-654-4014,618-654-6297,bhunschex@hometel.com,,
,Rusty Lee,,,,,,,,,,,
,"S.T.A.R. Concrete Pumping, Inc. 1",Barclay Branch,PO Box 400,Tomball,Texas,77377-0400,www.starpumping.com,281-357-1555,281-357-5222,bbranch@starpumping.com,,
,"S.T.A.R. Concrete Pumping, Inc. 2",Derek Dews,2070 West Cardinal Drive,Beaumont,Texas,77705,www.starpumping.com,409-842-5222,409-842-5229,ddews@starpumping.com,,
,"Savage Concrete Pumping, Inc",Scott Savage,PO Box 135,Greensboro,North Carolina,27402-0135,,336-362-8733,336-545-4472,savagepump@aol.com,,
,Schmeerbauch Contr,,C/O Eastern Missouri,St. Louis,Missouri,,,314-892-4470,,,,
,Schreiter Ready Mix & Materials,,200 South Cool Springs Road,O'Fallon,Missouri,63366,,636-240-2600,,,,
,"Shamrock Concrete, Inc.",Jack Stadel,611 Utah Street,Cheyenne,Wyoming,82009,,307-635-1121,307-778-7015,jack@stadelconstruction.com,,
,Shaw Construction,,1601 Bellefontaine,Kansas City,Missouri,64145,,816-231-8200,,,,
,Shouse Concrete,,1533 7th Avenue,St. Joseph,Missouri,64505,,816-232-7837,,,,
,Show Me Concrete,,2016 Jim's Road,Macon,Missouri,63552,,660-651-6655,,,,
,"Smeco Concrete Pumping, LLC",Eric Kuntz,PO Box 369,Kenner,Louisiana,70063,www.smeco.net,504-467-7711,504-467-7714,ericku@smeco.net,,
,"Smelker Concrete Pumping, Inc.",David Smelker,3420 Capital Drive,Colorado Springs,Colorado,80939,,719-591-7867,719-573-8798,smelkerconcrete@aol.com,,
,Southern Cal Concrete Pumping,Rusty Cours,"7111 Garden Grove Blvd., Suite 114",Garden Grove,California,92841,,714-484-2800,714-484-7800,rustycours@gmail.com,,
,Southern Oregon Concrete Pumping,Ron Hobson,102 Pleasant View,Talent,Oregon,97540,,541-488-4571,541-512-0809,rhobson541@charter.net,,
,"Southwest Concrete Construction, Inc.",Greg Bloom,2408 Parkland Avenue,Artesia,New Mexico,88210,www.swcci.com,575-746-9074,575-746-4837,charliey@swcci.com,,
,"Southwest Concrete Pumping, Inc.",Jeff Moll,2323 West Oxford,Englewood,Colorado,80110,www.southwestcp.com,303-781-7867,303-781-9446,jeff@southwestcp.com,,
,"Southwest Concrete Pumping, Inc. North Division","Tom Moats, Jr.",2323 West Oxford,Englewood,Colorado,80110,www.southwestcp.com,970-532-1355,970-532-1357,tmoats@southwestcp.com,,
,"Star Concrete Pumpers, Inc.",Ramon Vanicor,PO Box 1122,Sulphur,Louisiana,70664,www.starconcretepumpers.com,337-625-7827,337-625-7806,starconcretep450@bellsouth.net,,
,"Star Concrete Pumpers, Inc. CANADA",Pat Lamanna,100 Creditstone Road,Concord,Ontario,L4K 1P2,www.starconcretepumping.net,905-660-2441,905-738-2484,pat@starpumping.com,,
,"Star Equipment, Ltd.",Brad Bowman,"2950 6th Street, South West",Cedar Rapids,Iowa,52404,www.starquip.com,319-365-5139,319-365-6726,bradbowman@starequip.com,,
,Statewide Concrete Pumping,Jim Kirkwood,1300 Emig Road,Columbus,Ohio,43223,www.statewideconcretepumping.com,614-444-5103,614-444-0595,jimkirk1300@aol.com,,
,Stephens & Smith Construction Co.,Chris Barry,1542 South 1st Street,Lincoln,Nebraska,68502,,402-475-8087,402-475-0119,cbarry@stephensandsmith.com,,
,Stranger Creek ,,P.O. Box 58,Lynwood,Kansas,66052,,913-645-3135,,,,
,Sunrise Concrete ,,State Road F & TT,Sunrise Beach,Missouri,65709,,573-216-2589,,,,
,"SVG Concrete Services, Inc.",Sergio Verastegui,137 Thomas Mill Road,Holly Springs,North Carolina,27540,,919-567-0044,919-567-0061,sergiovg@outlook.com,,
,"Swearingin Concrete Foundations, LLC",,316 North Garner,Lawson,Missouri,64062,,816-580-7024,,,,
,T.A.S. Commercial Concrete Construction LLC,George Kirsch,19319 Oil Center Blvd.,Houston,Texas,77073,www.tasconcrete.com,281-230-7500,281-230-7664,krodriguez@tasconcrete.com,,
,"Taylor-Made Pumping, Inc.",Chris Davis,PO Box 254,Tallapoosa,Georgia,30176,www.taylormadepumping.com,770-574-8030,770-574-7605,cdavis@waynedavisconcrete.com,,
,TCF Equipment Finance,Carl Aust,"11100 Wayzata Blvd., Suite 801",Minnetonka,Minnesota ,55305,www.tcfef.com,800-442-7811,952-656-7600,caust@tcfef.com,,
,"Teague Rental Equipment, LLC.",Ben Gioele,"8195 Plank Road, PO Box 74207",Baton Rouge,Louisiana,70874,www.teaguerental.com,225-355-6243,225-356-0090,bayoupumpman@bellsouth.net,,
,The Concrete Pump Store,Bob Weatherton,PO Box 1085,Claremont,California,91711,www.theconcretepumpstore.com,909-625-0804,909-625-3124,bweatherton@earthlink.com,,
,The Sharper Edge,,610 East 135th Street,Kansas City,Missouri,64145,,816-941-3343,,,,
,"Thomas Machinery, Inc.",Jim Henegar,5680 NW 161st Street,Miami,Florida,33014-6129,,305-625-7878,305-625-2407,thomasmachinery@msn.com,,
,"Thompson Concrete Foundations, Inc.",Brad Thompson,PO Box 440,Carroll,Ohio,43112,www.thompsonconcrete.com,740-756-7256,740-756-7965,brad@thompsonconcrete.com,,
,"Titan Concrete Pumping, LLC.",Brian Smith,926 Gabriel Road,Caycee,South Carolina,29033,,803-665-3189,803-234-5402,titanconcretepumping@gmail.com,,
,"Tor Concstruction Company, Inc.",Sandee Sinnott,301 Sundown Road,South Elgin,Illinois,60177,,847-697-5505,847-697-3094,sandee@torconstruction.com,,
,"Tri County Concrete Pumping, Inc.",Paul Black,PO Box 4685,Auburn,California,95604,,530-888-6370,530-889-1295,tccp.black@sbcglobal.net,,
,Tri-State Concrete Pumping,James Windland,PO Box 548,Belpre,Ohio,45714,,740-423-9682,740-423-9684,tscp@sbcglobal.net,,
,"Tri-State Pumping, Inc.",Steve Vant Hof,"1070 - 2nd Avenue, NE",Sioux Center,Iowa,51250,,712-441-3071,712-722-1109,tristatepump@mtcnet.net,,
,"Tri-Way Concrete Pumping, Inc",Bill Germany,PO Box 1995,Roanoke,Texas,76262,,817-267-2206,,tri-way@sbcglobal.net,,
,Valley Concrete Pumping,Michael Troyer,59757 Gunnison Road,Olathe,Colorado,81425,,970-323-8926,970-323-6383,valleypump@kaycee.net,,
,"Vee-Jay Cement Contracting CO., Inc.",Roger Vancardo,8053 Chivvis Drive,St. Louis,Missouri,63123,,314-351-3366,314-481-2062,rogerv@veejaycement.com,PO # Required for payment,
,Venture Placement,,2716 Eureka Terrace,Manhattan,Kansas,66503,,785-537-2334,,,,
,Viper Concrete 2000 LP CANADA 1,Mike Maksymic,4 Industry Way SE,Calgary,Alberta,T3S 0A2,www.viperconcrete.com,403-720-2212,403-217-7795,info@viperconcrete.com,,
,Viper Concrete 2000 LP CANADA 2,Mike Maksymic,3028 Millar Avenue,Saskatoon,Saskatchewan,S7K 6N3,www.viperconcrete.com,877-984-7379,,info@viperconcrete.com,,
,"Virgina Concrete Pumping, LLC.",Catherine Bowles,PO Box 186,Chesterfield,Virgina,23832,www.vaconcretepumping.com,804-739-1100,,cathy@vaconcretepumping.com,,
,"Vista Ridge Concrete Pumping, Inc",Bob Guevermont,PO Box 293265,Lewisville,Texas,75029-3265,www.vrcpinc.com,972-316-0148,972-219-1655,bobg@vrcpinc.com,,
,"Wall-Ties & Forms, Inc",,400 Bonner Industrial,Shawnee,Kansas,66226,,913-441-0073,,,,
,Walters Concrete,,2413 Melissa Lane,Joplin,Missouri,64804,,417-481-3646,,,,
,Warren County,,6355 Bluff Road,Washington,Missouri,63090,,636-239-0061,,,,
,"Waters Construction, Inc.",,6570 West 140th Street Apt #3003,Overland Park,Kansas,66223,,,,,,
,Western Concrete Pumping (AZ),Jon Latty,4039 East Winslow,Phoenix,Arizona,85040,www.westernconcretepumping.com,602-456-7557,602-456-7570,jonl@wcp.us.com,,
,Western Concrete Pumping (CA),Chuck Reed,2181 La Mirada Drive,Vista,California,92081,www.westernconcretepumping.com,760-598-7855,760-598-5850,,,
,Western Concrete Pumping (LA),Todd Termini,8328 Hooper Road,Baton Rouge,Louisiana,70811,www.westernconcretepumping.com,225-228-1384,225-234-0485,,,
,Western Concrete Pumping (OK),Charlie Boyer,5629 South 107th East Avenue,Tulsa,Oklahoma,74146,www.westernconcretepumping.com,918-893-5617,,jimd@wcp.us.com,,
,Western Concrete Pumping (TX),Corby Allbright,1270 F.M. 2001,Buda,Texas,78610,www.westernconcretepumping.com,512-312-4440,512-312-4502,corbya@wcp.us.com,,
,Western Concrete Pumping (WA),Arv Zoerink,2015 East Bakerview Road,Bellingham,Washington,98226,www.westernconcretepumping.com,360-671-5757,360-647-8611,,,
,White River Concrete,,1945 Pleasant Valley,Gelena,Missouri,65656,,,,,,
,Wortman Concrete Pumping,Randy Wortman,55171 857th Road,Pierce,Nebraska,68767,,402-649-9980,402-371-3175,randy@wortmanconcretepumping.com,,
,X-Stream Concrete Pumping CANADA,Kayne Hemsing,2812 Irvine Avenue,Saskatoon,Saskatchewan,S7J 2B5,,306-681-8862,,xstreampower@sasktel.net,,
,"Zomax Concrete Pumping, Inc.",Richard Thornton,"5375 South Cameron, #B",Las Vegas,Nevada,89118,,702-877-2250,702-873-5033,rhornton@lvpumps.com,,
,,,,,,,,,,,,
